0	1	2
55	56	66
55	54	53
55	54	44
55	54	64
55	45	35
55	45	44
55	45	46
55	65	75
55	65	66
55	65	64
56	57	58
56	57	47
56	57	67
56	55	54
56	55	45
56	55	65
56	46	36
56	46	45
56	46	47
56	66	76
56	66	67
56	66	65
57	58	59
57	58	48
57	58	68
57	56	55
57	56	46
57	56	66
57	47	37
57	47	46
57	47	48
57	67	77
57	67	68
57	67	66
58	59	49
58	59	69
58	57	56
58	57	47
58	57	67
58	48	38
58	48	47
58	48	49
58	68	78
58	68	69
58	68	67
59	58	57
59	58	48
59	58	68
59	49	39
59	49	48
59	69	79
59	69	68
60	61	62
60	61	51
60	61	71
60	50	40
60	50	51
60	70	80
60	70	71
61	62	63
61	62	52
61	62	72
61	60	50
61	60	70
61	51	41
61	51	50
61	51	52
61	71	81
61	71	72
61	71	70
62	63	64
62	63	53
62	63	73
62	61	60
62	61	51
62	61	71
62	52	42
62	52	51
62	52	53
62	72	82
62	72	73
62	72	71
63	64	65
63	64	54
63	64	74
63	62	61
63	62	52
63	62	72
63	53	43
63	53	52
63	53	54
63	73	83
63	73	74
63	73	72
64	65	66
64	65	55
64	65	75
64	63	62
64	63	53
64	63	73
64	54	44
64	54	53
64	54	55
64	74	84
64	74	75
64	74	73
65	66	67
65	66	56
65	66	76
65	64	63
65	64	54
65	64	74
65	55	45
65	55	54
65	55	56
65	75	85
65	75	76
65	75	74
66	67	68
66	67	57
66	67	77
66	65	64
66	65	55
66	65	75
66	56	46
66	56	55
66	56	57
66	76	86
66	76	77
66	76	75
67	68	69
67	68	58
67	68	78
67	66	65
67	66	56
67	66	76
67	57	47
67	57	56
67	57	58
67	77	87
67	77	78
67	77	76
68	69	59
68	69	79
68	67	66
68	67	57
68	67	77
68	58	48
68	58	57
68	58	59
68	78	88
68	78	79
68	78	77
69	68	67
69	68	58
69	68	78
69	59	49
69	59	58
69	79	89
69	79	78
70	71	72
70	71	61
70	71	81
70	60	50
70	60	61
70	80	90
70	80	81
71	72	73
71	72	62
71	72	82
71	70	60
71	70	80
71	61	51
71	61	60
71	61	62
71	81	91
71	81	82
71	81	80
72	73	74
72	73	63
72	73	83
72	71	70
72	71	61
72	71	81
72	62	52
72	62	61
72	62	63
72	82	92
72	82	83
72	82	81
73	74	75
73	74	64
73	74	84
73	72	71
73	72	62
73	72	82
73	63	53
73	63	62
73	63	64
73	83	93
73	83	84
73	83	82
74	75	76
74	75	65
74	75	85
74	73	72
74	73	63
74	73	83
74	64	54
74	64	63
74	64	65
74	84	94
74	84	85
74	84	83
75	76	77
75	76	66
75	76	86
75	74	73
75	74	64
75	74	84
75	65	55
75	65	64
75	65	66
75	85	95
75	85	86
75	85	84
76	77	78
76	77	67
76	77	87
76	75	74
76	75	65
76	75	85
76	66	56
76	66	65
76	66	67
76	86	96
76	86	87
76	86	85
77	78	79
77	78	68
77	78	88
77	76	75
77	76	66
77	76	86
77	67	57
77	67	66
77	67	68
77	87	97
77	87	88
77	87	86
78	79	69
78	79	89
78	77	76
78	77	67
78	77	87
78	68	58
78	68	67
78	68	69
78	88	98
78	88	89
78	88	87
79	78	77
79	78	68
79	78	88
79	69	59
79	69	68
79	89	99
79	89	88
80	81	82
80	81	71
80	81	91
80	70	60
80	70	71
80	90	91
81	82	83
81	82	72
81	82	92
81	80	70
81	80	90
81	71	61
81	71	70
81	71	72
81	91	92
81	91	90
82	83	84
82	83	73
82	83	93
82	81	80
82	81	71
82	81	91
82	72	62
82	72	71
82	72	73
82	92	93
82	92	91
83	84	85
83	84	74
83	84	94
83	82	81
83	82	72
83	82	92
83	73	63
83	73	72
83	73	74
83	93	94
83	93	92
84	85	86
84	85	75
84	85	95
84	83	82
84	83	73
84	83	93
84	74	64
84	74	73
84	74	75
84	94	95
84	94	93
85	86	87
85	86	76
85	86	96
85	84	83
85	84	74
85	84	94
85	75	65
85	75	74
85	75	76
85	95	96
85	95	94
86	87	88
86	87	77
86	87	97
86	85	84
86	85	75
86	85	95
86	76	66
86	76	75
86	76	77
86	96	97
86	96	95
87	88	89
87	88	78
87	88	98
87	86	85
87	86	76
87	86	96
87	77	67
87	77	76
87	77	78
87	97	98
87	97	96
88	89	79
88	89	99
88	87	86
88	87	77
88	87	97
88	78	68
88	78	77
88	78	79
88	98	99
88	98	97
89	88	87
89	88	78
89	88	98
89	79	69
89	79	78
89	99	98
90	91	92
90	91	81
90	80	70
90	80	81
91	92	93
91	92	82
91	90	80
91	81	71
91	81	80
91	81	82
92	93	94
92	93	83
92	91	90
92	91	81
92	82	72
92	82	81
92	82	83
93	94	95
93	94	84
93	92	91
93	92	82
93	83	73
93	83	82
93	83	84
94	95	96
94	95	85
94	93	92
94	93	83
94	84	74
94	84	83
94	84	85
95	96	97
95	96	86
95	94	93
95	94	84
95	85	75
95	85	84
95	85	86
96	97	98
96	97	87
96	95	94
96	95	85
96	86	76
96	86	85
96	86	87
97	98	99
97	98	88
97	96	95
97	96	86
97	87	77
97	87	86
97	87	88
98	99	89
98	97	96
98	97	87
98	88	78
98	88	87
98	88	89
99	98	97
99	98	88
99	89	79
99	89	88
